,country,lat-long
179,Bellevue,47.610378-122.200676
180,Lynchburg,37.412762-79.146042
181,Dover,39.161079-75.525681
182,Tuba City,36.136906-111.240173
183,Medford,42.326515-122.875595
184,Franklin,35.925064-86.868889
185,Portland,45.523064-122.676483
186,Philadelphia,39.952583-75.165222
187,Miami,25.761681-80.191788
188,Boston,42.361145-71.057083
189,Phoenix,33.448376-112.074036
190,Erie,42.129223-80.085060
191,Victorville,34.536217-117.292763
192,Wilmington,39.739071-75.539787
193,Fontana,34.092232-117.435051
194,Jacksonville,30.332184-81.655647
195,Soulsbyville,37.984646-120.263802
196,Corvallis,44.564568-123.262047
197,Des Plaines,42.033363-87.883400
198,Richmond,37.935757-122.347748
199,Grifton,35.372662-77.437462
200,Redmond,47.673988-122.121513
201,San Leandro,37.725685-122.156830
202,East Point,33.679554-84.439369
203,Russellville,34.501942-87.731789
204,Dothan,31.223812-85.393356
205,Tampa,27.964157-82.452606
206,Kenosha,42.588081-87.822899
207,Springfield,44.046204-123.023346
208,Revere,42.408428-71.011993
209,New Haven,41.310726-72.929916
210,Port Orange,29.138315-80.995613
211,Manhattan,39.183609-96.571671
212,Baldwin Park,34.085285-117.960899
213,El Centro,32.793877-115.561516
214,Lakewood,39.710850-105.081505
215,Fall River,41.696629-71.149994
216,Mt Prospect,42.066418-87.937294
217,Cary,35.791538-78.781120
218,Toms River,39.954639-74.198456
219,Tigard,45.431767-122.770454
220,Clarksville,36.531364-87.353767
221,Kent,47.378010-122.237381
222,North Las Vegas,36.201946-115.120216
223,Walker,30.487968-90.861488
224,Canton,40.798946-81.378448
225,Macon,32.838131-83.634705
226,Bartlett,35.204441-89.873810
227,San Bernardino,34.115784-117.302399
228,Lynn,42.466763-70.949493
229,Evanston,42.045597-87.688568
230,Poway,32.962730-117.036240
231,Coffeyville,37.036064-95.620537
232,Rio Linda,38.691013-121.448563
233,Bellflower,33.882210-118.117981
234,Westland,42.324268-83.399017
235,Garden City,42.325569-83.330933
236,Meridian,43.612343-116.393707
237,Roswell,34.022003-84.361549
238,Johns Creek,34.028927-84.198578
239,New London,41.355423-72.102760
240,Hanford,36.327728-119.645912
241,Saint Charles,38.788105-90.497437
242,Carrollton,32.974586-96.889900
243,Stamford,41.053429-73.538734
244,Ames,42.034534-93.620369
245,Inglewood,33.961018-118.355370
246,Maryville,35.760059-83.966850
247,Charleston,38.349819-81.632622
248,Las Cruces,32.326595-106.775436
249,Rochester Hills,42.658516-83.152725
250,Centennial,39.579231-104.876694
251,Lompoc,34.639149-120.457939
252,North Richland Hills,32.834293-97.228905
253,Lowell,42.640999-71.316711
254,Round Rock,30.508255-97.678894
255,Torrance,33.840763-118.345413
256,Champaign,40.116421-88.243385
257,Gary,41.595161-87.356934
258,Port Charlotte,26.979605-82.075424
259,Cedar Falls,42.534901-92.445312
260,Great Falls,47.506187-111.283691
261,Brentwood,36.033115-86.782776
262,Syracuse,43.088947-76.154480
263,Grand Saline,32.673466-95.709404
264,Ponte Vedra Beach,30.240005-81.385262
265,Abilene,32.448734-99.733147
266,Valdosta,30.832703-83.278488
267,The Villages,28.927019-82.003761
268,Casa Grande,32.881893-111.768036
269,Gresham Terrace,45.502842-122.427444
270,Roseville,38.752125-121.288010
271,Eau Claire,44.811348-91.498497
272,Lake Charles,30.212942-93.218910
273,Biloxi,30.396032-88.885307
274,Perris,33.782520-117.228645
275,Beaverton,45.485168-122.804489
276,Mission Viejo,33.600021-117.671997
277,Madera,36.959530-120.062866
278,Bend,44.058174-121.315308
279,Greenville,34.852619-82.394012
280,North Fort Myers,26.667294-81.880089
281,Vacaville,38.356579-121.987747
282,Elgin,42.035408-88.282570
283,Hyrum,41.632893-111.851120
284,Encinitas,33.039139-117.295425
285,Ocala,29.187199-82.140091
286,Fremont,37.548271-121.988571
287,Fayetteville,35.052666-78.878357
288,O'Fallon,38.810608-90.699844
289,West Covina,34.068623-117.938950
290,Pico Rivera,33.983070-118.096733
291,Haines City,28.114183-81.617851
292,Joplin,37.084229-94.513283
293,Rock Hill,34.924866-81.025078
294,Lee's Summit,38.910843-94.382172
295,Dearborn,42.322262-83.176315
296,Newark,40.735657-74.172363
297,Pontiac,42.638924-83.291046
298,Lisburn,54.509720-6.037400
299,Salem,42.519539-70.896713
300,Chattanooga,35.045631-85.309677
301,Palmdale,34.579449-118.109291
302,Redondo Beach,33.849182-118.388405
303,Tuscaloosa,33.189281-87.565155
304,Davie,26.076477-80.252113
305,Hattiesburg,31.327120-89.290337
306,Victoria,28.798952-97.028503
307,Casas Adobes,32.319054-111.001053
308,Big Spring,32.250992-101.479073
309,Battle Creek,42.321152-85.179710
310,Eugene,44.052071-123.086754
311,Marrero,29.899372-90.100349
312,Castle Rock,39.374912-104.853859
313,Old Bridge Township,40.402714-74.305428
314,Huntington Beach,33.660057-117.998970
315,Havertown,39.981461-75.309387
316,Brea,33.916679-117.900063
317,Virginia Beach,36.863140-76.015778
318,Warren,42.491943-83.023888
319,Anderson,34.503441-82.650131
320,White Plains,41.033985-73.762909
321,Lansing,42.732536-84.555534
322,Bismarck,46.825905-100.778275
323,Spring,30.085136-95.425186
324,Kissimmee,28.291956-81.407570
325,Eden Prairie,44.852463-93.475113
326,Louisville,38.328732-85.764771
327,Florence,34.195435-79.762566
328,Nashua,42.765366-71.467567
329,Greece,43.209785-77.693062
330,Bolingbrook,41.698643-88.068398
331,Midland,32.000507-102.077408
332,El Cajon,32.794773-116.962524
333,Chula Vista,32.639954-117.106705
334,Raleigh,35.787743-78.644257
335,Tewksbury,42.610649-71.234222
336,Williamsport,41.242451-77.002831
337,Olympia,47.037872-122.900696
338,Alhambra,34.095287-118.127014
339,Sandy Springs,33.935101-84.360924
340,Frederick,39.412327-77.425461
341,Erie,42.129223-80.085060
342,Mountain View,37.386051-122.083855
343,Eagle,43.695442-116.354012
344,Sugar Land,29.619678-95.634949
345,Jackson,32.298756-90.184807
346,Harrisburg,40.263680-76.890739
347,Edina,44.889687-93.349953
348,Metairie,29.984093-90.152855
349,Rancho Cordova,38.589073-121.302727
350,Mobile,30.695366-88.039894
351,San Diego,32.715736-117.161087
352,East Peoria,40.666149-89.580101
353,North Charleston,32.854622-79.974808
354,Gulfport,30.367420-89.092819
355,Cherry Hill,39.926811-75.024628
356,Cincinnati,39.103119-84.512016
357,Glendale,34.142509-118.255074
358,Reading,40.335648-75.926872
359,Burien,47.470379-122.346794
360,Largo,27.909468-82.787323
361,Palm Harbor,28.078072-82.763710
362,Turlock,37.494656-120.846596
363,Camilla,31.231293-84.210464
364,Flagstaff,35.198284-111.651299
365,Napa,38.297539-122.286865
366,Greenwich,41.027054-73.620071
367,Flower Mound,33.014568-97.096954
368,Plano,33.019844-96.698883
369,Atlanta,33.753746-84.386330
370,Marietta,33.952602-84.549934
371,Hopkinsville,36.865601-87.488617
372,Thousand Oaks,34.170563-118.837593
373,Omaha,41.257160-95.995102
374,Newark,37.529659-122.040237
375,Haltom City,32.799576-97.269180
376,Smithtown,40.855930-73.200668
377,Burbank,34.180840-118.308968
378,La Crosse,43.801357-91.239578
379,Brookfield,43.061615-88.107948
380,Arden-Arcade,38.600807-121.377037
381,Mercer Island,47.570656-122.222069
382,Petaluma,38.244923-122.626991
383,Yorktown,37.238754-76.509674
384,Avon,39.633068-106.522217
385,Weston,26.103039-80.401382
386,Novato,38.108086-122.575150
387,Winona,44.049999-91.633331
388,Auburn,47.307323-122.228455
389,Murray,40.666893-111.887993
390,Lehi,40.391617-111.850769
391,Altadena,34.190163-118.131317
392,Clovis,36.825230-119.702919
393,Mohave Valley,34.933060-114.588852
394,Dundalk,39.250664-76.520515
395,Newark,39.683723-75.749657
396,Gilroy,37.005783-121.568275
397,St. Petersburg,27.773056-82.639999
398,Doral,25.819542-80.355331
399,Cheyenne,41.161079-104.805450
400,Dublin,37.702152-121.935791
401,Hayward,37.668819-122.080795
402,Livermore,37.681873-121.768005
403,St. George,37.095169-113.575974
404,Brownsville,25.901747-97.497482
405,Centreville,38.840389-77.428879
406,Tracy,37.739651-121.425224
407,Fort Collins,40.585258-105.084419
408,Port Arthur,29.884951-93.939949
409,Henderson,36.039524-114.981720
410,Allen,33.103172-96.670547
411,Redding,40.586540-122.391678
412,Chico,39.728493-121.837479
413,DeSoto,32.596287-96.862679
414,Milpitas,37.432335-121.899574
415,Flint,43.016193-83.705521
416,La Jolla,32.842674-117.257767
417,Quincy,42.255459-71.002579
418,Killeen,31.117119-97.727798
419,Scranton,41.408970-75.662415
420,Williston,48.146969-103.617973
421,Little Rock,34.746483-92.289597
422,Scranton,41.414925-75.669708
423,Dayton,39.758949-84.191605
424,Norwalk,33.902237-118.081734
425,Northside,30.490150-81.647346
426,Friendswood,29.529400-95.201042
427,Michigan City,41.723541-86.899284
428,Bangor,44.808147-68.795013
429,Deerfield Beach,26.329422-80.088615
430,Hempstead,40.706928-73.621788
431,Provo,40.233845-111.658531
432,Birmingham,33.543682-86.779633
433,Owasso,36.269539-95.854713
434,Oak Ridge,36.010357-84.269646
435,Concord,37.989128-122.043686
436,Titusville,28.612219-80.807556
437,Jackson,42.245777-84.405968
438,Canonsburg,40.262569-80.187279
439,Germantown,39.173161-77.271652
440,Tarrant,33.589027-86.768127
441,Minneapolis,44.986656-93.258133
442,Dana Point,33.466972-117.698105
443,Wilmington,34.225727-77.944710
444,Commerce City,39.813019-104.933510
445,Puyallup,47.185379-122.292900
446,La Habra,33.931957-117.946175
447,Norman,35.222569-97.439476
448,Niagara Falls,43.092461-79.047150
449,Norwich,41.532227-72.088852
450,Alief,29.682720-95.593239
451,Suitland,38.848610-76.924446
452,Covina,34.090008-117.890343
453,New Orleans,29.951065-90.071533
454,Prescott Valley,34.610023-112.315720
455,Levittown,40.725933-73.514290
456,Arvada,39.803261-105.090408
457,Prichard,30.739180-88.080482
458,San Tan Valley,33.170277-111.572220
459,Livonia,42.368370-83.352707
460,Conroe,30.311876-95.456055
461,Marion,42.033279-91.596893
462,Helena,46.595806-112.027031
463,Saint Paul,44.953705-93.089958
464,Irving,32.819595-96.945419
465,Pomona,34.055103-117.749992
466,Avondale,33.435596-112.349602
467,Portsmouth,36.835426-76.298271
468,West Lafayette,40.425869-86.908066
469,Newport Beach,33.628342-117.927933
470,Ventura,34.274647-119.229034
471,Meridian,32.364311-88.703659
472,Springdale,36.186745-94.128815
473,Palo Alto,37.468319-122.143936
474,Spokane,47.658779-117.426048
475,Moreno Valley,33.942467-117.229675
476,Gilbert,33.360355-111.801682
477,Lawton,34.603565-98.395927
478,Meriden,41.546616-72.789230
479,Annapolis,38.978443-76.492180
480,Rochester,43.161030-77.610924
481,Nacogdoches,31.603514-94.655487
482,Liberty Park,40.746445-111.874916
483,Dorchester,42.302708-71.072105
484,Oakton,38.880943-77.300819
485,Huntington Park,33.984932-118.227821
486,Cedar Park,30.505198-97.820290
487,St. Peters,38.787472-90.629890
488,Grand Island,40.929077-98.368149
489,Shawnee,39.022846-94.715187
490,Glenwood Springs,39.563354-107.332993
491,Hawthorne,33.919434-118.353996
492,Buffalo Grove,42.166283-87.963135
493,Temple,31.105862-97.353287
494,Silver Spring,38.994373-77.029778
495,Mira Mesa,32.918476-117.138237
496,Sunrise Manor,36.211082-115.073059
497,Manchester,43.008663-71.454391
498,Baton Rouge,30.471165-91.147385
499,Bakersfield,35.393528-119.043732
500,San Juan Capistrano,33.501694-117.662552
501,San Marcos,29.890661-97.911530
502,Grand Prairie,32.738773-97.003098
503,Greeley,40.391537-104.681168
504,Broomfield,39.920540-105.086647
505,Boulder,40.014984-105.270546
506,Ken Caryl,39.575821-105.112206
507,Westminster,39.842285-105.043716
508,Arvada,39.802765-105.087486
509,Cherry Creek Reservoir,39.644825-104.845963
510,Costa Mesa,33.641132-117.918671
511,Santa Monica,34.024212-118.496475
512,Santa Clara,37.354107-121.955238
513,Anchorage,61.217381-149.863129
514,Ridgecrest,35.633862-117.679367
515,Idaho Falls,43.491650-112.033966
516,Carbondale,37.701206-89.228210
517,Cape Coral,26.562855-81.949532
518,Belleville,38.526684-89.991074
519,Midland,43.618183-84.234238
520,McKinney,33.214561-96.614456
521,Lawndale,33.888088-118.353477
522,Bethesda,38.984653-77.094711
523,Westlake,41.463310-81.915436
524,Loveland,40.398857-105.052643
525,Galesburg,40.953976-90.362549
526,Jefferson City,38.579575-92.174782
527,Durham,35.994034-78.898621
528,Ashland,42.194576-122.709480
529,Florence,34.799809-87.677254
530,Tacoma,47.258728-122.465973
531,Daytona Beach,29.218103-81.031723
532,Fond du Lac,43.774071-88.455734
533,Beaumont,30.080173-94.126556
534,Mansfield,40.763901-82.503891
535,Frisco,33.155373-96.818733
536,Cedar Rapids,41.977879-91.665627
537,Salinas,36.677738-121.655502
538,Kingman,35.189442-114.053009
539,San Clemente,33.426971-117.611992
540,Billings,45.787636-108.489304
541,Dunwoody,33.946213-84.334648
542,Buffalo,42.880230-78.878738
543,Pensacola,30.433283-87.240372
544,Denver,39.742043-104.991531
545,Edmond,35.657295-97.478256
546,Walnut,34.020290-117.865341
547,Stratford,41.184540-73.133163
548,Compton,33.895847-118.220070
549,Georgetown,30.633263-97.677986
550,Cooper City,26.057310-80.271713
551,Carmel,39.978371-86.118042
552,Pearland,29.563902-95.285110
553,Lakeland,28.039465-81.949806
554,Lafayette,40.416702-86.875290
555,Palm Coast,29.584452-81.207870
556,St. Louis,38.627003-90.199402
557,Everett,47.982567-122.193375
558,Travis Air Force Base,38.272118-121.939857
559,Cleveland,35.159519-84.876610
560,Lake Forest,33.650066-117.693100
561,Key West,24.555059-81.779984
562,Olathe,38.881397-94.819130
563,Carlsbad,31.604727-100.640228
564,Apache Junction,33.415051-111.549576
565,West Hartford,41.762085-72.742012
566,Renton,47.482880-122.217064
567,Rohnert Park,38.339638-122.701096
568,Nashville,36.174465-86.767960
569,Fort Lauderdale,26.122438-80.137314
570,Pompano Beach,26.247236-80.106125
571,Winston-Salem,36.099861-80.244217
572,Sunnyvale,37.368832-122.036346
573,Shoreline,47.755653-122.341515
574,Eagan,44.804131-93.166885
575,Monterey,36.603954-121.898460
576,Orem,40.296898-111.694649
577,Riverside,33.953350-117.396156
578,Milwaukee,43.038902-87.906471
579,Iowa City,41.661129-91.530167
580,Mio,44.652237-84.129730
581,Burlington,44.475883-73.212074
582,Gardena,33.893787-118.307991
583,Lincoln,40.806862-96.681679
584,Charleston,32.776566-79.930923
585,Fitchburg,43.002316-89.424095
586,Bossier City,32.515984-93.732124
587,Hyattsville,38.955944-76.945534
588,Pueblo,38.276463-104.604607
589,Aiken,33.566574-81.719398
590,Greensboro,36.044659-79.766235
591,Enid,36.395588-97.878387
592,Seattle,47.608013-122.335167
593,Port St. Lucie,27.293690-80.353317
594,Cleveland,41.505493-81.681290
595,Hartford,41.763710-72.685097
596,Grand Junction,39.071445-108.549728
597,Ruston,32.523205-92.637924
598,Hialeah,25.857595-80.278107
599,Tucson,32.253460-110.911789
600,Poughkeepsie,41.708290-73.923912
601,Southaven,34.988983-90.012589
602,Santa Ana,33.745571-117.867836
603,Mesa,33.424564-111.833267
604,Bountiful,40.889389-111.880768
605,Wichita Falls,33.930828-98.484879
606,Tulsa,36.153980-95.992775
607,Texarkana,33.441792-94.037689
608,Lakewood Township,40.087528-74.208183
609,Anaheim,33.835293-117.914505
610,Mableton,33.818718-84.582436
611,Milford,41.230698-73.064034
612,Logan Square,41.923122-87.709290
613,Haverhill,42.776199-71.077278
614,Brockton,42.083431-71.018379
615,Duluth,46.786671-92.100487
616,Wylie,33.015572-96.536346
617,Oshkosh,44.034294-88.547745
618,Scottsdale,33.501324-111.925278
619,Chandler,33.307575-111.844940
620,Fort Lauderdale,26.139412-80.133591
621,Schaumburg,42.033360-88.083405
622,Shreveport,32.523659-93.763504
623,Ozark,35.489746-93.824272
624,Brookings,44.311356-96.798386
625,Kingsport,36.548435-82.561821
626,Huntsville,34.738228-86.601791
627,Jal,32.113182-103.193512
628,Glendale,33.548264-112.191696
629,Carlsbad,33.158092-117.350594
630,Attleboro,41.944546-71.285606
631,Santa Maria,34.963623-120.424576
632,Columbus,39.201439-85.921379
633,Woodbridge,38.658707-77.257919
634,Union,40.702503-74.261398
635,Moore,35.339508-97.486702
636,Bowling Green,41.374775-83.651321
637,Watertown,43.974785-75.910759
638,Pembroke,42.071491-70.809196
639,Paso Robles,35.640556-120.680008
640,El Paso,31.772543-106.460953
641,Fresno,36.746841-119.772591
642,Oxford,33.614269-85.834969
643,Waikīkī,21.290014-157.835938
644,South Gate,33.956032-118.211349
645,Fort Worth,32.768799-97.309341
646,Methuen,42.726200-71.190895
647,Farmington,36.733379-108.213272
648,Paducah,37.086678-88.604050
649,San Pedro,33.736061-118.292244
650,Albuquerque,35.106766-106.629181
651,Laurel,39.109818-76.840439
652,Elizabeth,40.666058-74.200974
653,Alexandria,38.820450-77.050552
654,Chino Hills,33.989819-117.732582
655,Orlando,28.538336-81.379234
656,Fredericksburg,38.309875-77.466316
657,Fort Wayne,41.093842-85.139236
658,Wichita,37.697948-97.314835
659,Peoria,40.703545-89.579086
660,Lancaster,40.044437-76.306229
661,Chester,39.853886-75.358658
662,Baltimore,39.299236-76.609383
663,Manassas Park,38.784225-77.459450
664,Chicago,41.881832-87.623177
665,Bemidji,47.481018-94.888229
666,New York City,40.730610-73.935242
667,Clinton,38.768005-76.897087
668,Jamaica,40.699783-73.786026
669,Savannah,32.076176-81.088371
670,La Puente,34.020012-117.949509
671,Minnetonka,44.921185-93.468750
672,Cedar City,37.680492-113.061722
673,Allentown,40.610306-75.477104
674,Elizabeth City,36.302952-76.245804
675,Pocahontas,36.264206-90.961990
676,Chicopee,42.155258-72.600060
677,Broken Arrow,36.056561-95.783516
678,Los Angeles,34.052235-118.243683
679,Sacramento,38.590576-121.489906
680,Bellingham,48.769768-122.485886
681,Fullerton,33.876118-117.921410
682,Honolulu,21.315603-157.858093
683,Sarasota,27.341274-82.528267
684,Downey,33.945068-118.128090
685,Clearwater,27.972572-82.796745
686,Bowie,39.013313-76.776924
687,Pompano Beach,26.243540-80.122948
688,Kalamazoo,42.299152-85.591736
689,Federal Way,47.322323-122.312622
690,Enid,36.395588-97.878387
691,Palm Bay,28.040169-80.594330
692,Las Vegas,36.114647-115.172813
693,Saratoga,37.266949-122.025146
694,Redlands,34.055569-117.182541
695,Brick,40.060272-74.139343
696,Henderson,37.840427-87.578888
697,Ontario,34.068871-117.651215
698,Fresno,29.540457-95.448189
699,Mount Juliet,36.200928-86.519737
700,Independence,39.091118-94.415504
701,Lebanon,40.052059-86.470642
702,Hyattsville,38.956341-76.941719
703,Salem,44.944099-123.040283
704,Rio Rancho,35.226997-106.675461
705,Calhoun,34.501690-84.939697
706,Charlotte,35.227085-80.843124
707,Needham,42.280930-71.237755
708,Charleston,32.784618-79.940918
709,Stockton,37.961632-121.275604
710,Beaumont,30.081987-94.118637
711,Oxnard,34.196411-119.170898
712,Leawood,38.966675-94.616898
713,Perrysburg,41.568916-83.640564
714,Santa Fe,35.691544-105.944183
715,Post Falls,47.712257-116.948364
716,Lubbock,33.576698-101.855072
717,Topeka,39.056198-95.695312
718,Santa Rosa,38.444660-122.720306
719,St. Cloud,28.248901-81.281181
720,Menifee,33.680984-117.170700
721,Longview,32.514885-94.737236
722,Sacramento,38.575764-121.478851
723,Reno,39.530895-119.814972
724,Simi Valley,34.269447-118.781479
725,Colorado Springs,38.846127-104.800644
726,Hermiston,45.845543-119.292641
727,Scranton,41.411835-75.665245
728,Brainerd,46.355934-94.201408
729,Colton,34.075127-117.309090
730,Bayonne,40.668713-74.114311
731,New City,41.147594-73.989304
732,Fort Myers,26.640629-81.872307
733,Richfield,44.883244-93.286240
734,Allentown,40.613953-75.477791
735,Seminole,32.719276-102.644661
736,Georgetown,33.373474-79.288521
737,Greenwood,39.614944-86.105606
738,Chesapeake,36.779591-76.288376
739,Marco Island,25.940556-81.714722
740,Spanish Fork,40.114956-111.654922
741,Corpus Christi,27.800583-97.396378
742,Wooster,40.720200-81.874237
743,Pittsburgh,40.440624-79.995888
744,Newport,35.964279-83.182152
745,Baytown,29.733303-94.978134
746,Lambertville,40.365940-74.942947
747,Vallejo,38.104088-122.256638
748,Oklahoma City,35.481918-97.508469
749,Highland Park,42.190166-87.786697
750,Mentor,41.659576-81.372299
751,St. Joseph,39.766853-94.834152
752,Rolla,37.951424-91.768959
753,Mill Valley,37.905182-122.544006
754,Elizabethton,36.352879-82.207649
755,Naperville,41.789234-88.151894
756,Cartersville,34.166080-84.800613
757,Denton,33.214840-97.133064
758,Salt Lake City,40.758701-111.876183
759,Suffolk,36.732830-76.579002
760,Garden City Park,40.740364-73.662727
761,Gloster,32.190994-93.814903
762,Knoxville,35.964668-83.926453
763,York,39.962303-76.727692
764,Bloomington,34.069725-117.396210
765,Saint Paul,44.954445-93.091301
766,Toledo,41.651031-83.541939
767,Hobart,41.529140-87.250328
768,Lawrenceville,33.957245-83.988441
769,Mukilteo,47.947079-122.303864
770,Gatlinburg,35.714321-83.510391
771,Maysville,38.641186-83.744362
772,Ann Arbor,42.279594-83.732124
773,Cranberry Township,40.682201-80.104919
774,Anderson,40.109589-85.676964
775,San Francisco,37.773972-122.431297
776,New Lenox,41.511921-87.963577
777,Fort Mitchell,32.341537-85.021599
778,Oakdale,44.963219-92.964417
779,Springfield,38.788612-77.174316
780,Boise,43.618881-116.215019
781,Oyster Bay,40.865635-73.532326
782,Franklinton,30.847425-90.154503
